wavelength,spectrum
1072,3.30403E+14
1073,3.27E+14
1074,3.3183E+14
1075,3.2308E+14
1076,3.29674E+14
1077,3.27339E+14
1078,3.26626E+14
1079,3.26793E+14
1080,3.23157E+14
1081,3.16658E+14
1082,3.20013E+14
1083,3.22896E+14
1084,3.16991E+14
1085,3.19467E+14
1086,3.05624E+14
1087,3.09939E+14
1088,3.20829E+14
1089,3.15919E+14
1090,3.0771E+14
1091,3.1945E+14
1092,3.14249E+14
1093,2.86767E+14
1094,2.92809E+14
1095,2.86052E+14
1096,2.83143E+14
1097,3.08099E+14
1098,2.82762E+14
1099,2.77974E+14
1100,2.70203E+14
1101,2.71972E+14
1102,2.612E+14
1103,2.58315E+14
1104,2.61465E+14
1105,2.70528E+14
1106,2.34326E+14
1107,2.5779E+14
1108,2.35377E+14
1109,2.34613E+14
1110,2.52067E+14
1111,2.00941E+14
1112,2.14758E+14
1113,1.62316E+14
1114,1.61901E+14
1115,1.39819E+14
1116,1.07688E+14
1117,6.28275E+13
1118,1.05069E+14
1119,7.29749E+13
1120,8.09992E+13
1121,9.40007E+13
1122,5.65467E+13
1123,6.76142E+13
1124,6.50308E+13
1125,7.2404E+13
1126,4.31525E+13
1127,7.7416E+13
1128,6.07506E+13
1129,5.71764E+13
1130,5.85132E+13
1131,1.47472E+14
1132,1.31414E+14
1133,8.49747E+13
1134,2.98095E+13
1135,1.87009E+13
1136,7.64697E+13
1137,1.46796E+14
1138,1.29034E+14
1139,1.60879E+14
1140,1.44889E+14
1141,1.17462E+14
1142,1.32719E+14
1143,1.58353E+14
1144,8.16557E+13
1145,8.25192E+13
1146,8.26633E+13
1147,5.63351E+13
1148,1.36954E+14
1149,1.22766E+14
1150,8.29519E+13
1151,1.148E+14
1152,1.39242E+14
1153,1.31314E+14
1154,1.01674E+14
1155,1.66625E+14
1156,1.67642E+14
1157,1.80083E+14
1158,1.83225E+14
1159,1.90453E+14
1160,1.75006E+14
1161,1.98375E+14
1162,2.12503E+14
1163,2.59787E+14
1164,2.38709E+14
1165,2.27338E+14
1166,2.22987E+14
1167,2.38223E+14
1168,2.45259E+14
1169,2.50468E+14
1170,2.65692E+14
1171,2.64593E+14
1172,2.67252E+14
1173,2.5966E+14
1174,2.15731E+14
1175,2.59881E+14
1176,2.78961E+14
1177,2.70908E+14
1178,2.30171E+14
1179,2.73593E+14
1180,2.6492E+14
1181,2.58832E+14
1182,2.09842E+14
1183,2.50194E+14
1184,2.49958E+14
1185,2.48232E+14
1186,2.77157E+14
1187,2.63804E+14
1188,2.14643E+14
1189,2.4563E+14
1190,2.71356E+14
1191,2.69861E+14
1192,2.79608E+14
1193,2.74441E+14
1194,2.7835E+14
1195,2.68588E+14
1196,2.63398E+14
1197,2.79953E+14
1198,2.59017E+14
1199,2.31032E+14
1200,2.62769E+14
1201,2.64272E+14
1202,2.63434E+14
1203,2.56844E+14
1204,2.298E+14
1205,2.6197E+14
1206,2.8403E+14
1207,2.64606E+14
1208,2.60875E+14
1209,2.55616E+14
1210,2.69829E+14
1211,2.59086E+14
1212,2.61662E+14
1213,2.79576E+14
1214,2.66675E+14
1215,2.64373E+14
1216,2.80726E+14
1217,2.7912E+14
1218,2.7935E+14
1219,2.74826E+14
1220,2.80115E+14
1221,2.83416E+14
1222,2.77193E+14
1223,2.7342E+14
1224,2.7603E+14
1225,2.83497E+14
1226,2.84885E+14
1227,2.71923E+14
1228,2.84809E+14
1229,2.87514E+14
1230,2.85505E+14
1231,2.90305E+14
1232,2.87751E+14
1233,2.83177E+14
1234,2.89538E+14
1235,2.88996E+14
1236,2.9024E+14
1237,2.88375E+14
1238,2.90009E+14
1239,2.87672E+14
1240,2.86657E+14
1241,2.87668E+14
1242,2.87666E+14
1243,2.85396E+14
1244,2.84374E+14
1245,2.85151E+14
1246,2.86712E+14
1247,2.86314E+14
1248,2.86936E+14
1249,2.87559E+14
1250,2.86532E+14
1251,2.84165E+14
1252,2.83211E+14
1253,2.81152E+14
1254,2.7972E+14
1255,2.82153E+14
1256,2.77797E+14
1257,2.75646E+14
1258,2.78793E+14
1259,2.71572E+14
1260,2.70678E+14
1261,2.60505E+14
1262,2.52299E+14
1263,2.5091E+14
1264,2.39583E+14
1265,2.48523E+14
1266,2.45694E+14
1267,2.45012E+14
1268,2.27024E+14
1269,1.78043E+14
1270,2.37126E+14
1271,2.58654E+14
1272,2.60777E+14
1273,2.59621E+14
1274,2.60066E+14
1275,2.63557E+14
1276,2.66893E+14
1277,2.69512E+14
1278,2.73098E+14
1279,2.72266E+14
1280,2.70547E+14
1281,2.63025E+14
1282,2.45897E+14
1283,2.6045E+14
1284,2.70424E+14
1285,2.73463E+14
1286,2.7497E+14
1287,2.72836E+14
1288,2.7078E+14
1289,2.65803E+14
1290,2.67469E+14
1291,2.68651E+14
